id,image,mask,species,breed,color,L,a,b,pet_pixels,reviewed,notes,split
Bombay_1,cat/black/images/Bombay_1.jpg,cat/black/masks/Bombay_1.png,cat,Bombay,black,15.252948760986328,3.994971513748169,8.250772476196289,16647,True,,train
Bombay_10,cat/black/images/Bombay_10.jpg,cat/black/masks/Bombay_10.png,cat,Bombay,black,10.218782424926758,-3.72233247756958,1.8770337104797363,66771,True,,train
Bombay_101,cat/black/images/Bombay_101.jpg,cat/black/masks/Bombay_101.png,cat,Bombay,black,15.462414741516112,1.166917324066162,1.0811299085617063,53462,True,,train
Bombay_102,cat/black/images/Bombay_102.jpg,cat/black/masks/Bombay_102.png,cat,Bombay,black,23.08856201171875,8.06373405456543,6.802672386169434,27107,True,,train
Bombay_104,cat/black/images/Bombay_104.jpg,cat/black/masks/Bombay_104.png,cat,Bombay,black,15.570724487304688,-0.0005364418029785,1.3481885194778442,24440,True,,train
Bombay_107,cat/black/images/Bombay_107.jpg,cat/black/masks/Bombay_107.png,cat,Bombay,black,10.328386306762695,-1.3639330863952637,-1.5418648719787598,28970,True,,train
Bombay_109,cat/black/images/Bombay_109.jpg,cat/black/masks/Bombay_109.png,cat,Bombay,black,19.017192840576172,3.054201602935791,-4.947728157043457,27260,True,,train
Bombay_11,cat/black/images/Bombay_11.jpg,cat/black/masks/Bombay_11.png,cat,Bombay,black,10.439537048339844,4.767879962921143,2.786674976348877,58245,True,,train
Bombay_110,cat/black/images/Bombay_110.jpg,cat/black/masks/Bombay_110.png,cat,Bombay,black,8.692241668701172,-1.4901161193847656e-05,0.7494598627090454,253651,True,,train
Bombay_111,cat/black/images/Bombay_111.jpg,cat/black/masks/Bombay_111.png,cat,Bombay,black,13.07261848449707,1.8413811922073364,-1.2634038925170898,72443,True,,train
Bombay_113,cat/black/images/Bombay_113.jpg,cat/black/masks/Bombay_113.png,cat,Bombay,black,15.636343002319336,3.4438297748565674,-5.550408363342285,129029,True,,train
Bombay_114,cat/black/images/Bombay_114.jpg,cat/black/masks/Bombay_114.png,cat,Bombay,black,26.7606201171875,-0.9646117687225342,2.5236666202545166,40318,True,,train
Bombay_115,cat/black/images/Bombay_115.jpg,cat/black/masks/Bombay_115.png,cat,Bombay,black,13.745824813842772,2.2816359996795654,14.81165599822998,189923,True,,train
Bombay_116,cat/black/images/Bombay_116.jpg,cat/black/masks/Bombay_116.png,cat,Bombay,black,23.92618179321289,1.1265575885772705,2.646845579147339,31633,True,,train
Bombay_117,cat/black/images/Bombay_117.jpg,cat/black/masks/Bombay_117.png,cat,Bombay,black,20.23082733154297,-1.1961236000061035,0.2902388572692871,21033,True,,train
Bombay_118,cat/black/images/Bombay_118.jpg,cat/black/masks/Bombay_118.png,cat,Bombay,black,8.480945587158203,-0.4559755325317383,0.3644317388534546,28181,True,,train
Bombay_12,cat/black/images/Bombay_12.jpg,cat/black/masks/Bombay_12.png,cat,Bombay,black,4.349832534790039,2.8595850467681885,2.2691874504089355,110882,True,,train
Bombay_120,cat/black/images/Bombay_120.jpg,cat/black/masks/Bombay_120.png,cat,Bombay,black,11.395574569702148,-1.2250616550445557,-1.3056516647338867,10851,True,,train
Bombay_122,cat/black/images/Bombay_122.jpg,cat/black/masks/Bombay_122.png,cat,Bombay,black,21.46841049194336,2.9669480323791504,2.6278316974639893,42456,True,,train
Bombay_123,cat/black/images/Bombay_123.jpg,cat/black/masks/Bombay_123.png,cat,Bombay,black,23.691394805908203,-0.0009685754776,0.0023961067199707,56707,True,,train
Bombay_125,cat/black/images/Bombay_125.jpg,cat/black/masks/Bombay_125.png,cat,Bombay,black,6.833831787109375,-0.6724521517753601,0.2529859542846679,57940,True,,train
Bombay_126,cat/black/images/Bombay_126.jpg,cat/black/masks/Bombay_126.png,cat,Bombay,black,15.746326446533203,-0.6499588489532471,2.7611374855041504,30009,True,,train
Bombay_127,cat/black/images/Bombay_127.jpg,cat/black/masks/Bombay_127.png,cat,Bombay,black,20.318111419677734,0.9513944387435912,-4.989314079284668,42895,True,,train
Bombay_129,cat/black/images/Bombay_129.jpg,cat/black/masks/Bombay_129.png,cat,Bombay,black,6.297399520874023,-0.00029057264328,0.378456711769104,127018,True,,train
Bombay_13,cat/black/images/Bombay_13.jpg,cat/black/masks/Bombay_13.png,cat,Bombay,black,11.487686157226562,-0.00019371509552,0.0322163105010986,43540,True,,train
Bombay_131,cat/black/images/Bombay_131.jpg,cat/black/masks/Bombay_131.png,cat,Bombay,black,20.13928985595703,4.58843994140625,4.774040222167969,57018,True,,train
Bombay_132,cat/black/images/Bombay_132.jpg,cat/black/masks/Bombay_132.png,cat,Bombay,black,10.978082656860352,-1.1302679777145386,-2.409982681274414,119633,True,,train
